CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,YearsAtCurrentAddress,NoPaidPerc,HomeOwnership_Mortgage,HomeOwnership_Own,HomeOwnership_Rent,Education_Bachelor,Education_High School,Education_Masters,Education_PhD,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed
0.15300546448087426,0.016528133972349646,0.09969106992043383,0.02816901408450706,0.0,0.10526315789473684,0.8609180880185302,0.47368421052631576,0.9655172413793103,0.6206896551724138,0.5135076398766618,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.39344262295081966,0.13881810956043544,0.016118815842112277,0.3943661971830986,0.5555555555555556,0.42105263157894735,0.32501579279848386,0.6842105263157894,0.0,0.3103448275862069,0.690813631399149,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6156648451730419,0.39119211799358383,0.5918177979286128,0.8732394366197184,0.5555555555555556,0.3684210526315789,0.04785217940619078,0.3157894736842105,0.8620689655172413,0.3103448275862069,0.7512388205464948,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.11475409836065564,0.4635788021122031,0.10854225007778817,0.5070422535211268,1.0,0.0,0.965361128658665,0.2631578947368421,0.7586206896551724,0.10344827586206896,0.4737519263749625,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9180327868852459,0.5048903423078611,0.10286927145841668,0.7605633802816901,0.1111111111111111,0.5263157894736842,0.36465571699305116,0.9473684210526315,0.6551724137931034,0.1724137931034483,0.8970324891209711,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.686703096539162,0.2979307563974775,0.3929246121705116,0.8873239436619719,0.2222222222222222,0.631578947368421,0.607654242998526,0.9473684210526315,0.5517241379310345,0.27586206896551724,0.6506948220796531,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.8415300546448087,0.9566108054935497,0.05087900608970086,0.5633802816901409,0.3333333333333333,0.3684210526315789,0.9774689408296484,0.5789473684210527,0.896551724137931,0.27586206896551724,0.7204905427372058,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7959927140255009,0.4791080475387541,0.08318331333066631,0.6338028169014085,0.6666666666666666,0.631578947368421,0.10017898504948408,0.42105263157894735,0.5172413793103449,0.6896551724137931,0.4085940566290497,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7140255009107467,0.8914682532221401,0.06959261234831313,0.8028169014084506,0.3333333333333333,0.5263157894736842,0.14460939145083174,0.05263157894736842,0.24137931034482757,0.896551724137931,0.5442087379574134,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.32969034608378867,0.11929139962090095,0.8165588745166024,0.3943661971830986,0.5555555555555556,0.8421052631578947,0.4828384923141714,0.3684210526315789,0.48275862068965514,0.5172413793103449,0.7500137411612461,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6848816029143897,0.6118886261764844,0.9407698804285016,0.08450704225352113,0.7777777777777777,0.05263157894736842,0.7986944619919983,0.5263157894736842,0.1724137931034483,0.4482758620689655,0.5043227446626821,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8688524590163934,0.8482209597363473,0.5068731386407077,0.15492957746478875,0.4444444444444444,0.631578947368421,0.32991156032849017,0.42105263157894735,0.3793103448275862,0.6896551724137931,0.6598645131950676,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.01821493624772308,0.2187002600217984,0.9911821576210162,0.8591549295774649,0.4444444444444444,0.42105263157894735,0.903137502632133,0.894736842105263,0.10344827586206896,0.896551724137931,0.6114267891827907,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.3642987249544626,0.7524116398614696,0.5022391874472152,0.5633802816901409,0.0,0.3157894736842105,0.8548115392714255,0.0,0.5517241379310345,0.7586206896551724,0.6290893016647808,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.20218579234972678,0.4429838936010659,0.20253255989687513,0.14084507042253525,0.7777777777777777,0.21052631578947367,0.875868603916614,0.5789473684210527,0.13793103448275862,0.7241379310344828,0.41789515086436607,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0564663023679417,0.6438632805234622,0.016768902520336054,0.8450704225352114,0.7777777777777777,0.21052631578947367,0.6604021899347231,0.5789473684210527,0.3448275862068966,0.7586206896551724,0.5173735301137288,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.34790528233151174,0.6562806855915814,0.071809574609948,0.0,0.6666666666666666,0.894736842105263,0.5768056432933248,0.8421052631578947,0.8275862068965517,0.4482758620689655,0.7561117863844006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1056466302367941,0.09647369387215743,0.5967851269058098,0.9859154929577466,1.0,0.5789473684210527,0.5919140871762476,0.2631578947368421,0.5862068965517241,0.3103448275862069,0.60354390818271,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
